"chunks","time","diff"
"he came to M. At that letter the old man signified “Yes.”","1767978659128","1"
"and with the utmost precaution, out of the window in either Faria’s or","1767978659128","1"
"last trial, and he put the phial to the purple lips of Faria, and","1767978659128","1"
"“That is very well before one is over forty. No, I do not dance, but I","1767978659128","1"
"To Danglars Monte Cristo also wrote, requesting him to excuse the","1767978659128","1"
"Dantès obeyed, and commenced what he called his history, but which","1767978659128","1"
"“How so? The fortune is not her gift, but is inherited from my","1767978659128","1"
"flowers of which she was picking off and strewing on the floor; her","1767978659128","1"
"“When will it be our turn to think of these things? Oh, Valentine, you","1767978659128","1"
"you will be mad in a fortnight.”","1767978659128","1"
"string.”","1767978659128","1"
"prey, and his lips, half opened, disclosed his white teeth, small and","1767978659128","1"
"men—_this_ was the return the Holy Father looked for. In the first","1767978659128","1"
"musket burst open the lock, two more forced out the bolts, and the","1767978659128","1"
"luggage on before you. It has arrived at the Hôtel des Princes, Rue de","1767978659128","1"
"Peppino remained breathless.","1767978659128","1"
"expects to realize thirty or forty thousand francs by the sale.”","1767978659128","1"
"“No, madame, I did not say as much as that,” replied the count with a","1767978659128","1"
"“‘Why?’ said Caderousse with a shudder; ‘why, that he might not have","1767978659128","1"
"he had passed in vain hopes, prayer, and despondency. During the six","1767978659128","1"
"companions. She stretched out her arms to him, but they seized hold of","1767978659128","1"
"half-filled with a red-looking fluid. Bring it to me—or rather—no,","1767978659128","1"
"moments. My sister would be bathed in tears and fainting; I could not","1767978659128","1"
"Instead of employing this diamond in attempting to bribe his jailers,","1767978659128","1"
"continued their conversation.","1767978659128","1"
"the baroness and her daughter during the evening, in the event of their","1767978659128","1"
"rolled on. Alexander VI. died, poisoned,—you know by what mistake.","1767978659128","1"
"“Well, beneath this uniform beats one of the bravest and noblest hearts","1767978659128","1"
"breeches, fastened above the knee with diamond buckles; garters of","1767978659128","1"
"oars half lifted out of the water, like birds drying their wings.","1767978659128","1"
"“What is going on?” asked Franz of the count; for, as all the talk was","1767978659128","1"
"Morrel out. Maximilian stared for a moment at the corpse, gazed all","1767978659128","1"
"‘and I bring you his ring.’ At these words he raised his hand above his","1767978659128","1"
"had been left. He darted upon it as an eagle would seize upon its prey.","1767978659128","1"
"reverently by the side of its mother, with its head upon her breast.","1767978659128","1"
"the house had been forced open, and the money stolen. Benedetto never","1767978659128","1"
"“To the king?”","1767978659128","1"
"“A pretty silence truly!” said the old father of the bridegroom, as he","1767978659128","1"
"“‘How, and why?’","1767978659128","1"
"crackling, and it seemed to him as though the atmosphere again changed,","1767978659128","1"
"“Holy Week” that was to succeed it, so filled every fair breast, as to","1767978659128","1"
"accompanied him downstairs, reiterating their hope that he would come","1767978659128","1"
"precautions, there should be some trace, some proof remaining to reveal","1767978659128","1"
"susceptibility. “To what class of society does he belong?”","1767978659128","1"
"pay double, and it is done directly.”","1767978659128","1"
"Albert could not understand the banker’s look, and turning to Monte","1767978659128","1"
"being disagreeable to the man who had loaded him and his friend with","1767978659128","1"
"“That, perhaps, might not be considered a large sum, in Paris","1767978659128","1"
"“To know what?”","1767978659128","1"
"bowed his head, and while a deep color overspread his cheeks, he","1767978659128","1"
"also to be yours. We will embark for Algiers, for England, for America,","1767978659128","1"
"“That you will fire first.”","1767978659128","1"
"brigands that had established itself in the Lepini mountains began to","1767978659128","1"
"if he lay under a tombstone.”","1767978659128","1"
"ruined, and passed a very bad night. Next morning _Le Moniteur_","1767978659128","1"
"40212m","1767978659128","1"
"opened carriage door, and held out his hand to a young woman,","1767978659128","1"
"“In an hour?” inquired Danglars, turning pale. “How is that, my","1767978659128","1"
"Albert looked around and perceived Franz. “What,” said he, “is it you,","1767978659128","1"
"was only one left on the fifth floor of the Doria Palace, and that has","1767978659128","1"
"“Just our number, so that if they prove troublesome, we shall be able","1767978659128","1"
"The gate of the hotel had been closed to screen them from sight, but","1767978659128","1"
"dream nor reality; “what have I done to you? Tell me, then! Speak!”","1767978659128","1"
"revealed their true worth.","1767978659128","1"
"that I will kill you. From this moment I declare the vendetta against","1767978659128","1"
"eyes, he bent his head and wept. For a while nothing was heard in the","1767978659128","1"
"“Then the carbineers scoured the country in different directions, but","1767978659128","1"
"is still active in this human machine, and that is faint and","1767978659128","1"
"“Precisely,” said the count; “six years since I bought a horse in","1767978659128","1"
"“Is there any answer?” inquired Franz, taking the letter from him.","1767978659128","1"
"However, this is much, and calls for gratitude and Heaven has not taken","1767978659128","1"
"Morrel, one of my friends, had not stopped him.”","1767978659128","1"
"“My dear count,” cried Morcerf, “you are at fault—you, one of the most","1767978659128","1"
"“It was without any foundation that _Le Messager_ yesterday announced","1767978659128","1"
"received orders from their mistress to prepare the supper, the serenity","1767978659128","1"
"millionnaire, and, by way of paying extra attention to his noble","1767978659128","1"
"“Oh, M. de Morcerf,” interrupted Morrel.","1767978659128","1"
"“It is to be found for the searching. But why should I meddle in the","1767978659128","1"
"is a rock of almost conical form, which looks as though it had been","1767978659128","1"
"“Well, suppose you were to alter a signal, and substitute another?”","1767978659128","1"
"The valet announced the Vicomte Albert de Morcerf. The baroness rose","1767978659128","1"
"thicket. I hoped to find some traces which had escaped me in the","1767978659128","1"
"‘O Mathilde! idole de mon âme!’","1767978659128","1"
"“Well.”","1767978659128","1"
"two means—my will and my money. I take as much interest in the pursuit","1767978659128","1"
"“she wished to see me, to speak to me; she has feared or guessed","1767978659128","1"
"disorder. Noirtier, seeing Barrois in this pitiable condition, showed","1767978659128","1"
"shall plot or contrive aught against the life and safety of the parent","1767978659128","1"
"Londres, abundantly proved to him that his island friend was playing","1767978659128","1"
"Bois; but when my coachman goes to fetch the grays from the stables","1767978659128","1"
"of delights of which the holy herb, now before you, had given them a","1767978659128","1"
"his hand when Mercédès entered, and fixing an ace of clubs against the","1767978659128","1"
"openings of which the pale moonlight played and flickered like the","1767978659128","1"
"a passport from his drawer he said,—“Good, it is available for two","1767978659128","1"
"followed M. d’Épinay, saw him enter, afterwards go out, and then","1767978659128","1"
"“Well, now that all is arranged, do not let these newly awakened","1767978659128","1"
"The young man, seeing them approach, drew back mechanically, until he","1767978659128","1"
"“Ah, yes; what could I say?”","1767978659128","1"
"“Oh, I am listening with the greatest impatience,” replied the young","1767978659128","1"
"engraver of the Palais Royal, who did the plate in my presence. The","1767978659128","1"
"with which I welcomed the arrival of each Wednesday, Friday, and","1767978659128","1"
"the flash of lightning which, for a moment, startled me. Oh, that I","1767978659128","1"
"situated on the opposite side to the closed room; then he approached a","1767978659128","1"
"And Morcerf with a forced smile arose, and, making a low bow to M.","1767978659128","1"
"you?”","1767978659128","1"
"“It was, your excellency; the benevolent abbé took an evident interest","1767978659128","1"
"their traces—some sad, others bright—on our paths; it is true that","1767978659128","1"
"their own apartments; “you seem more than commonly thoughtful.”","1767978659128","1"
"quoted, found it impossible to give any effect to the interest he had","1767978659128","1"
"me to ask one question; it shall be the last: Can you prove the","1767978659128","1"
"took the liveliest interest in all my affairs!”","1767978659128","1"
"“I know it,” said Château-Renaud; “I narrowly escaped catching a fever","1767978659128","1"
"in a calm tone.","1767978659128","1"
"profusion of light brown hair, and eyes that seemed to float in liquid","1767978659128","1"
"“Sir, my right-hand correspondent is signalling.”","1767978659128","1"
"Well, my dear father, in the shipwreck of life—for life is an eternal","1767978659128","1"
"happiness to sustain towards you, can it be that you know me so little","1767978659128","1"
"francs, and the guard and seals for 300. How fortunate that the","1767978659128","1"
"in the present instance, the confidential nature of the conversation he","1767978659128","1"
"read, I had even written a precise history of the Borgia family, for","1767978659128","1"
"proposition of increased wages, could induce them to remain; to every","1767978659128","1"
"and in the effects which it produces. I recognized the presence of this","1767978659128","1"
"secrets of his heart, but with the benevolent kindness of a father for","1767978659128","1"
"who had sold his shares, and of the luck of the stock-jobber, who only","1767978659128","1"
"contraband.”","1767978659128","1"
"admitted. He questioned me concerning Captain Leclere’s death; and, as","1767978659128","1"
"“Do no such thing, I beg of you; he would only send you another, formed","1767978659128","1"
"Maximilian, “I love him, and will be only his; were I compelled to","1767978659128","1"
"They had arrived in the Champs-Élysées. Monte Cristo opened the","1767978659128","1"
"to her of the East.”","1767978659128","1"
"“The French ladies, madame. He has made up his mind to take a wife from","1767978659128","1"
"suspected of Bonapartism. You have doubtless heard of these massacres,","1767978659128","1"
"ground, and they reached the archway under the shadow of the wall.","1767978659128","1"
"“Well”, said Caderousse, “why don’t you come? Are you really in such a","1767978659128","1"
"the time of the emperor, but which are not suffered now, for the people","1767978659128","1"
"traveller may detain those who are well and active, it is impossible to","1767978659128","1"
"commanded an income of 50,000 livres, a more than sufficient sum to","1767978659128","1"
"from beginning to end. The brigands had carried me off, and conducted","1767978659128","1"
"something droll.” Morcerf entered, and in place of the usual target, he","1767978659128","1"
"reddened by the burning sun, was seen against the azure sky. Dantès","1767978659128","1"
"leave them,” she said.","1767978659128","1"
"“He has already been invited by my father. We shall try to persuade the","1767978659128","1"
"husband goes through all the emotions of jealousy, until conviction","1767978659128","1"
"“He is a musician.”","1767978659128","1"
"“Fernand,” cried he, “of my hundred names I need only tell you one, to","1767978659128","1"
"young girl did not speak; but she made an affirmative sign with her","1767978659128","1"
"eye.”","1767978659128","1"
"“I’ll tell you,” answered the countess. “Byron had the most perfect","1767978659128","1"
"to suppose it was meant for him, he suffered Albert to retain it.","1767978659128","1"
"de Saint-Méran’s;” and he arranged mentally, while Dantès awaited","1767978659128","1"
"“And the steamboat?”","1767978659128","1"
"“Well?” exclaimed Franz and the sailors in unison.","1767978659128","1"
"just as those who have been tossed on the stormy waters of the ocean on","1767978659128","1"
"rest of the costume.","1767978659128","1"
"islands, which was, in fact, Tiboulen. He knew that it was barren and","1767978659128","1"
"VOLUME THREE","1767978659128","1"
"Ali Tepelini—after having sent to the sultan a French officer in whom","1767978659128","1"
"coming back from Algiers,” said Château-Renaud; “she looked like a","1767978659128","1"
"The count, fearing to yield to the entreaties of her he had so ardently","1767978659128","1"
"“Tell him I will come when I leave my dear grandmamma,” she replied,","1767978659128","1"
"in having the opportunity of hearing one of the best works by the","1767978659128","1"
"“The king himself.”","1767978659128","1"
"0148m","1767978659128","1"
"to be the smell of time, had in a single day acquired the aspect of","1767978659128","1"
"lover;” and he burst into a hoarse laugh.","1767978659128","1"
"four years old; but as those events deeply concerned me, not a single","1767978659128","1"
"“A mischance?” repeated the baroness.","1767978659128","1"
"“Your profession?”","1767978659128","1"
"“Tell me what it is,” replied Monte Cristo.","1767978659128","1"
"“Ah, how good you are to say so, Valentine! You possess a quality which","1767978659128","1"
"pension.”","1767978659128","1"
"“Because Mercédès is a very fine girl, and fine girls never lack","1767978659128","1"
"breeches of blue velvet, silk stockings with clocks, shoes with","1767978659128","1"
"very similar to those used in public illuminations.","1767978659128","1"
"“Oh, your great work on the monarchy of Italy!”","1767978659128","1"
"The young girl to whom this question was addressed drew from an inlaid","1767978659128","1"
"to anyone our connection?”","1767978659128","1"
"in vain endeavored to hide her lover beneath her azure mantle.","1767978659128","1"
"gratings placed at a distance of three feet from one another to prevent","1767978659128","1"
"closed with a lock, and opened it with a key which he wore round his","1767978659128","1"
"to its mother? There was the crime, Bertuccio—that was where you became","1767978659128","1"
"and is beset by stormy passions and conflicting interests, as in","1767978659128","1"
"marriage-contract were being carried on at the house of M. de","1767978659128","1"
"“You were sent by some other person?”","1767978659128","1"
"“No—it was somewhere—away from here—it was—I do not know—but it appears","1767978659128","1"
"conform to all its code, and I have no wish to put myself within the","1767978659128","1"
"“On what I could get.”","1767978659128","1"
"bench, while Bertuccio followed him, collecting his thoughts. Bertuccio","1767978659128","1"
"“Could your conversation have been overheard by anyone?”","1767978659128","1"
"“Edmond Dantès. It appears, sir, that this Edmond Dantès had procured","1767978659128","1"
"The day before Franz had been presented to Madame de Saint-Méran, who","1767978659128","1"
"on horseback, holding a musket in his fist, was posted as a sentinel at","1767978659128","1"
"a hundred feet.","1767978659128","1"
"“Sir,” said d’Avrigny to Villefort, so loud that all might hear, “poor","1767978659128","1"
"anchoring of his vessel, “it seems to me that a sailor needs not be so","1767978659128","1"
"Cristo?”","1767978659128","1"
"Monte Cristo pressed his hands to his forehead. What was passing in","1767978659128","1"
"was expressed on the lips of the procureur. Noirtier looked at","1767978659128","1"
"“Bah!”","1767978659128","1"
"But marrying, as I am about to do, before all Paris, I ought to be","1767978659128","1"
"“Oh, you encourage me, and something tells me there,” placing his hand","1767978659128","1"
"himself from morning till eve at the threshold of his door, on the","1767978659128","1"
"has made him a baron, and can make him a peer, but he cannot make him a","1767978659128","1"
"“But you can sleep when you please, monsieur?” said Morrel.","1767978659128","1"
"“Yes,” said Monte Cristo, “and God,—I cannot say in justice, for his","1767978659128","1"
"raising of the siege. I retreated with the rest, for eight-and-forty","1767978659128","1"
"patience but one day longer; what I have said I will do.”","1767978659128","1"
"of 15,000 francs.","1767978659128","1"
"rarely allowed its victims to be seen with their limbs distorted and","1767978659128","1"
"“Why,” replied Dantès, “I see nothing but broken lines and unconnected","1767978659128","1"
"you really mean to say; monsieur, that my dear father is here?”","1767978659128","1"
"travelling britzka, with four post-horses, in which one may rest as in","1767978659128","1"
"hand within his own he said, tenderly:","1767978659128","1"
